sweep,case,arm,flow_n,dt_scale,nbatch,nsteps,tfrac,max_its,status,iters_step1,median_iters_rest,imbalance,total_iters,iters_by_step,step1_overshoot,step1_contraction,theory_contraction,failed_step,n_failed_members,error
stepsize,vp_chaboche,pred+ls,2,10,8,6,0.606061,50,ok,15,9,1.66667,56,15-5-5-9-10-12,1.08147e+06,4.00233,4,-1,-1,
stepsize,vp_chaboche,pred+ls,2,20,8,6,1.21212,50,ok,16,14,1.14286,83,16-11-12-15-14-15,4.481e+06,4.0009,4,-1,-1,
stepsize,vp_chaboche,pred-ls,2,1,8,6,0.0606061,50,ok,15,3,5,31,15-4-3-3-3-3,679899,4.00355,4,-1,-1,
stepsize,vp_chaboche,pred-ls,2,2,8,6,0.121212,50,ok,16,3,5.33333,32,16-4-3-3-3-3,2.84286e+06,4.00139,4,-1,-1,
stepsize,vp_chaboche,pred-ls,2,5,8,6,0.30303,50,ok,17,4,4.25,37,17-4-4-4-4-4,1.82383e+07,4.00055,4,-1,-1,
stepsize,vp_chaboche,pred-ls,2,10,8,6,0.606061,50,ok,18,4,4.5,38,18-4-4-4-4-4,7.3586e+07,4.00022,4,-1,-1,
stepsize,vp_chaboche,pred-ls,2,20,8,6,1.21212,50,ok,19,5,3.8,44,19-5-5-5-5-5,2.95614e+08,4.00014,4,-1,-1,
stepsize,vp_chaboche,nopred+ls,2,1,8,6,0.0606061,50,ok,11,11,1,66,11-11-11-11-11-11,5001.96,4.02968,4,-1,-1,
stepsize,vp_chaboche,nopred+ls,2,2,8,6,0.121212,50,ok,12,12,1,72,12-12-12-12-12-12,31833,4.00775,4,-1,-1,
stepsize,vp_chaboche,nopred+ls,2,5,8,6,0.30303,50,ok,14,14,1,84,14-14-14-14-14-14,251491,4.00399,4,-1,-1,
stepsize,vp_chaboche,nopred+ls,2,10,8,6,0.606061,50,ok,15,15,1,90,15-15-15-15-15-15,1.08147e+06,4.00233,4,-1,-1,
stepsize,vp_chaboche,nopred+ls,2,20,8,6,1.21212,50,ok,16,16,1,96,16-16-16-16-16-16,4.481e+06,4.0009,4,-1,-1,
stepsize,vp_chaboche,nopred-ls,2,1,8,6,0.0606061,50,ok,15,15,1,90,15-15-15-15-15-15,679899,4.00355,4,-1,-1,
stepsize,vp_chaboche,nopred-ls,2,2,8,6,0.121212,50,ok,16,16,1,96,16-16-16-16-16-16,2.84286e+06,4.00139,4,-1,-1,
stepsize,vp_chaboche,nopred-ls,2,5,8,6,0.30303,50,ok,17,17,1,102,17-17-17-17-17-17,1.82383e+07,4.00055,4,-1,-1,
stepsize,vp_chaboche,nopred-ls,2,10,8,6,0.606061,50,ok,18,18,1,108,18-18-18-18-18-18,7.3586e+07,4.00022,4,-1,-1,
stepsize,vp_chaboche,nopred-ls,2,20,8,6,1.21212,50,ok,19,19,1,114,19-19-19-19-19-19,2.95614e+08,4.00014,4,-1,-1,
arms,cp_coupled,pred+ls,8,1,8,6,0.0606061,50,ok,16,3,5.33333,34,16-5-4-3-3-3,1,1.05598,2.91029,-1,-1,
